Species,Site,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Least Flycatcher,LA00,0,0,1,0,0,0,0,0,0,0
Least Flycatcher,LA01,1,2,1,0,0,1,0,0,1,0
Least Flycatcher,LA02,2,2,1,1,0,0,0,0,0,0
Least Flycatcher,LA03,1,1,1,0,0,0,0,0,0,1
Least Flycatcher,LA04,2,0,0,0,0,0,0,0,0,0
Least Flycatcher,LA05,0,1,1,0,0,0,0,0,0,0
Least Flycatcher,LA06,1,1,1,0,0,0,0,0,0,0
Least Flycatcher,LA07,0,0,0,0,0,1,0,0,0,0
Least Flycatcher,LA08,0,0,1,0,1,0,0,0,0,0
Least Flycatcher,LA09,0,0,0,0,0,0,0,0,0,0
Least Flycatcher,LA10,0,0,0,0,0,1,0,0,0,0
Least Flycatcher,LA11,0,0,0,0,0,0,0,0,0,0
Least Flycatcher,LA12,0,0,0,0,0,0,0,0,0,0
